Tahun;Bulan;Fed Rate;Inflasi;Uang Beredar;Indeks Harga Konsumen ( IHK );Suku Bunga;Indeks Dow Jones;Indeks Saham Gabungan ( IHSG )
2018;1;1,41;3.25 %;5351684,67;132,1;4,25;0,0579;6.605,63
2018;2;1,42;3.18 %;5351650,33;132,32;4,25;-0,0593;6.597,22
2018;3;1,51;3.4 %;5395826,04;132,58;4,25;-0,0203;6.188,99
2018;4;1,69;3.41 %;5409088,81;132,71;4,25;0,0066;5.994,60
2018;5;1,7;3.23 %;5435082,93;132,99;4,75;0,0154;5.983,59
2018;6;1,82;3.12 %;5534149,83;133,77;5,25;-0,0148;5.799,24
2018;7;1,91;3.18 %;5507791,75;134,14;5,25;0,0485;5.936,44
2018;8;1,91;3.2 %;5529451,81;134,07;5,5;0,0199;6.018,46
2018;9;1,95;2.88 %;5606779,89;133,83;5,75;0,0192;5.976,55
2018;10;2,19;3.16 %;5667512,1;134,2;5,75;-0,0479;5.831,65
2018;11;2,2;3.23 %;5670975,24;134,56;6;0,0058;6.056,12
2018;12;2,27;3.13 %;5760046,2;135,39;6;-0,0793;6.194,50
2019;1;2,4;2.82 %;5644985;135,83;6;0,0716;6.532,97
2019;2;2,4;2.57 %;5670778;135,72;6;0,0181;6.443,35
2019;3;2,41;2.48 %;5747247;135,87;6;0,0188;6.468,75
2019;4;2,42;2.83 %;5746732;136,47;6;0,0258;6.455,35
2019;5;2,39;3.32 %;5860509;137,4;6;-0,0537;6.209,12
2019;6;2,38;3.28 %;5908509;138,16;6;0,0566;6.358,63
2019;7;2,4;3.32 %;5941133;138,59;5,75;0,0277;6.390,50
2019;8;2,13;3.49 %;5934562;138,75;5,5;-0,0339;6.328,47
2019;9;2,04;3.39 %;6134178;138,37;5,25;0,0194;6.169,10
2019;10;1,83;3.13 %;6026908;138,4;5;0,0101;6.228,32
2019;11;1,55;3 %;6074377;138,6;5;0,0319;6.011,83
2019;12;1,55;2.72 %;6136552;139,07;5;0,0172;6.299,54
2020;1;1,55;2.68 %;6046651;104,33;5;-0,0099;5.940,05
2020;2;1,58;2.98 %;6116495;104,62;4,75;-0,1018;5.452,70
2020;3;0,65;2.96 %;6440457,39;104,72;4,5;-0,1383;4.538,93
2020;4;0,05;2.67 %;6238267;104,8;4,5;0,1048;4.716,40
2020;5;0,05;2.19 %;6468193,5;104,87;4,5;0,0427;4.753,61
2020;6;0,08;1.96 %;6393743,8;105,06;4,25;0,0169;4.905,39
2020;7;0,09;1.54 %;6567725,02;104,95;4;0,0393;5.149,63
2020;8;0,1;1.32 %;6726135,25;104,9;4;0,0596;5.238,49
2020;9;0,09;1.42 %;6748574,03;104,85;4;-0,0229;4.870,04
2020;10;0,09;1.44 %;6780844,54;104,92;4;-0,0115;5.128,23
2020;11;0,09;1.59 %;6817456,68;105,21;3,75;0,0573;5.612,42
2020;12;0,09;1.68 %;6900049,49;105,68;3,75;0,0185;5.979,07
2021;1;0,09;1.55 %;6767407,65;105,95;3,75;-0,0125;5.862,35
2021;2;0,08;1.38 %;6817787,91;106,06;3,5;0,0391;6.241,80
2021;3;0,07;1.37 %;6895564,12;106,15;3,5;0,0499;5.985,52
2021;4;0,07;1.42 %;6964386,49;106,29;3,5;0,0271;5.995,62
2021;5;0,06;1.68 %;7004093,08;106,63;3,5;0,0265;5.947,46
2021;6;0,08;1.33 %;7130061,42;106,46;3,5;-0,0079;5.985,49
2021;7;0,1;1.52 %;7160560,33;106,54;3,5;0,0179;6.070,04
2021;8;0,09;1.59 %;7211500,72;106,57;3,5;0,0097;6.150,30
2021;9;0,08;1.6 %;7300920,64;106,53;3,5;-0,0319;6.286,94
2021;10;0,08;1.66 %;7491704,38;106,66;3,5;0,0503;6.591,35
2021;11;0,08;1.75 %;7573319,9;107,05;3,5;0,0105;6.533,93
2021;12;0,08;1.87 %;7870452,85;107,66;3,5;-0,0026;6.581,48
2022;1;0,08;2.18 %;7646789,19;108,26;3,5;0,0068;6.631,15
2022;2;0,08;2.06 %;7690134,5;108,24;3,5;-0,0693;6.888,17
2022;3;0,2;2.64 %;7810949,32;108,95;3,5;0,0181;7.071,44
2022;4;0,33;3.47 %;7911484,49;109,98;3,5;-0,0226;7.228,91
2022;5;0,77;3.55 %;7854186,71;110,42;3,5;-0,0194;7.148,97
2022;6;1,21;4.35 %;7890747,01;111,09;3,5;-0,0743;6.911,58
2022;7;1,68;4.94 %;7845551,91;111,8;3,5;0,0673;6.951,12
2022;8;2,33;4.69 %;7897628,21;111,57;3,75;-0,0171;7.178,59
2022;9;2,56;5.95 %;7962693,36;112,87;4,25;-0,0834;7.040,80
2022;10;3,08;5.71 %;8223055,02;112,75;4,75;0,0505;7.098,89
2022;11;3,78;5.42 %;8297349,51;112,85;5,25;0,0889;7.081,31
2022;12;4,1;5.51 %;8528022,31;113,59;5,5;-0,0207;6.850,62
2023;1;4,33;5.28 %;8271838,1;113,98;5,75;-0,0003;6.839,34
2023;2;4,57;5.47 %;8300648,37;114,16;5,75;0,0297;6.843,24
2023;3;4,65;4.97 %;8293283,23;114,36;5,75;-0,0412;6.805,28
2023;4;4,83;4.33 %;8352349,68;114,74;5,75;0,0389;6.915,72
2023;5;5,06;4 %;8336170,79;114,84;5,75;-0,0123;6.633,26
2023;6;5,08;3.52 %;8372990,32;115;5,75;0,0068;6.661,88
2023;7;5,12;3.08 %;8349492,32;115,24;5,75;0,0486;6.931,36
2023;8;5,33;3.27 %;8364739;115,22;5,75;-0,0202;6.953,26
2023;9;5,33;2.28 %;8441236,44;115,44;5,75;-0,0382;6.939,89
2023;10;5,33;2.56 %;8506544,06;115,64;6;0,0216;6.752,21
2023;11;5,33;2.86 %;8574917,1;116,08;6;0,0536;7.080,74
2023;12;5,33;2.61 %;8.826.531;116,56;6;0,0484;7.272,80
