Tahun,Kuartal,Populasi_Juta,Inflasi_Persen,Suku_Bunga_Persen,Pengangguran_Persen,Investasi_Triliun,Ekspor_Miliar_USD,Konsumsi_RT_Triliun,GDP_Growth_Persen
2015,1,255.5,6.29,7.50,5.81,120.4,39.5,1280.5,4.73
2015,2,256.0,7.26,7.50,5.81,125.1,38.0,1295.2,4.67
2015,3,256.5,6.83,7.50,6.18,128.3,36.2,1310.8,4.74
2015,4,257.0,3.35,7.50,5.81,132.0,37.1,1325.4,5.04
2016,1,257.9,4.45,6.75,5.50,135.2,35.2,1340.1,4.92
2016,2,258.4,3.45,6.50,5.50,140.8,36.8,1358.7,5.18
2016,3,258.9,3.07,5.00,5.61,145.3,35.9,1375.2,5.02
2016,4,259.4,3.02,4.75,5.61,150.1,37.5,1390.6,4.94
2017,1,260.0,3.61,4.75,5.33,155.7,39.2,1408.3,5.01
2017,2,260.5,4.37,4.75,5.33,160.4,40.1,1425.1,5.01
2017,3,261.0,3.72,4.25,5.50,165.2,41.8,1442.6,5.06
2017,4,261.5,3.61,4.25,5.50,170.8,43.2,1460.2,5.19
2018,1,262.0,3.40,4.25,5.13,175.3,44.5,1478.5,5.06
2018,2,262.5,3.12,5.25,5.13,178.6,42.1,1495.8,5.27
2018,3,263.0,2.88,5.75,5.34,182.1,45.3,1512.4,5.17
2018,4,263.5,3.13,6.00,5.34,185.4,43.8,1530.1,5.18
2019,1,264.2,2.48,6.00,5.01,190.2,41.2,1548.6,5.07
2019,2,264.7,3.28,6.00,5.01,195.8,40.5,1565.3,5.05
2019,3,265.2,3.39,5.25,5.28,200.1,41.8,1582.7,5.02
2019,4,265.7,2.72,5.00,5.28,205.4,40.2,1600.4,4.97
2020,1,266.9,2.96,4.50,4.94,195.3,35.8,1550.2,2.97
2020,2,267.4,1.96,4.25,5.26,170.5,28.5,1420.8,-5.32
2020,3,267.9,1.42,4.00,7.07,175.2,30.2,1450.3,-3.49
2020,4,268.4,1.68,3.75,7.07,180.8,32.1,1480.6,-2.19
2021,1,269.6,1.37,3.50,6.26,185.1,34.5,1500.2,-0.74
2021,2,270.1,1.33,3.50,6.26,195.4,38.2,1535.8,7.07
2021,3,270.6,1.60,3.50,6.49,200.8,40.8,1560.4,3.51
2021,4,271.1,1.87,3.50,6.49,210.5,44.1,1590.7,5.02
2022,1,272.2,2.64,3.50,5.83,215.3,48.5,1620.3,5.01
2022,2,272.7,4.35,3.50,5.83,220.1,52.3,1645.8,5.44
2022,3,273.2,5.95,4.25,5.86,225.6,55.8,1670.2,5.72
2022,4,273.7,5.51,5.50,5.86,230.4,53.2,1695.5,5.01
2023,1,274.9,5.47,5.75,5.45,235.2,51.8,1720.4,5.03
2023,2,275.4,3.52,5.75,5.45,240.8,50.5,1748.6,5.17
2023,3,275.9,2.28,5.75,5.32,245.3,52.1,1775.3,4.94
2023,4,276.4,2.61,6.00,5.32,250.1,53.8,1800.8,5.05
2024,1,277.5,2.57,6.00,4.82,255.6,52.4,1828.2,5.11
2024,2,278.0,2.51,6.25,4.82,260.3,54.1,1855.7,5.05
2024,3,278.5,2.12,6.00,4.91,265.8,55.8,1882.4,4.95
2024,4,279.0,1.57,5.75,4.91,270.2,56.2,1910.5,5.02
